test,run,ms,rows,status,error
A_journey_01,1,63,20,ok,
A_journey_02,1,59,20,ok,
A_journey_03,1,62,20,ok,
A_journey_04,1,55,20,ok,
A_journey_05,1,52,20,ok,
A_journey_06,1,60,18,ok,
A_journey_07,1,60,20,ok,
A_journey_08,1,65,20,ok,
A_journey_09,1,74,20,ok,
A_journey_10,1,51,20,ok,
A_journey_11,1,51,20,ok,
A_journey_12,1,59,20,ok,
A_journey_13,1,57,20,ok,
A_journey_14,1,54,20,ok,
A_journey_15,1,60,20,ok,
A_journey_16,1,51,20,ok,
A_journey_17,1,57,20,ok,
A_journey_18,1,44,20,ok,
A_journey_19,1,44,20,ok,
A_journey_20,1,62,16,ok,
A_journey_21,1,45,12,ok,
A_journey_22,1,56,20,ok,
A_journey_23,1,45,20,ok,
A_journey_24,1,55,20,ok,
A_journey_25,1,49,20,ok,
A_journey_26,1,54,20,ok,
A_journey_27,1,61,20,ok,
A_journey_28,1,51,20,ok,
A_journey_29,1,43,20,ok,
A_journey_30,1,53,20,ok,
A_journey_31,1,48,20,ok,
A_journey_32,1,46,20,ok,
A_journey_33,1,57,20,ok,
A_journey_34,1,50,20,ok,
A_journey_35,1,66,20,ok,
A_journey_36,1,48,20,ok,
A_journey_37,1,56,20,ok,
A_journey_38,1,58,12,ok,
A_journey_39,1,57,20,ok,
A_journey_40,1,46,20,ok,
A_journey_41,1,46,20,ok,
A_journey_42,1,46,20,ok,
A_journey_43,1,44,16,ok,
A_journey_44,1,43,20,ok,
A_journey_45,1,57,20,ok,
A_journey_46,1,48,20,ok,
A_journey_47,1,47,20,ok,
A_journey_48,1,49,20,ok,
A_journey_49,1,61,20,ok,
A_journey_50,1,43,20,ok,
A_journey_51,1,47,20,ok,
A_journey_52,1,51,20,ok,
A_journey_53,1,45,20,ok,
A_journey_54,1,46,20,ok,
A_journey_55,1,53,20,ok,
A_journey_56,1,47,20,ok,
A_journey_57,1,46,20,ok,
A_journey_58,1,51,20,ok,
A_journey_59,1,48,20,ok,
A_journey_60,1,50,20,ok,
A_journey_61,1,49,20,ok,
A_journey_62,1,48,20,ok,
A_journey_63,1,53,20,ok,
A_journey_64,1,45,20,ok,
A_journey_65,1,46,20,ok,
A_journey_66,1,47,20,ok,
A_journey_67,1,46,20,ok,
A_journey_68,1,43,20,ok,
A_journey_69,1,46,20,ok,
A_journey_70,1,47,20,ok,
A_journey_71,1,47,20,ok,
A_journey_72,1,51,18,ok,
A_journey_73,1,48,20,ok,
A_journey_74,1,45,20,ok,
A_journey_75,1,45,10,ok,
A_journey_76,1,61,20,ok,
A_journey_77,1,46,16,ok,
A_journey_78,1,47,20,ok,
A_journey_79,1,51,20,ok,
A_journey_80,1,48,20,ok,
A_journey_81,1,48,20,ok,
A_journey_82,1,46,20,ok,
A_journey_83,1,44,20,ok,
A_journey_84,1,48,20,ok,
A_journey_85,1,46,20,ok,
A_journey_86,1,48,18,ok,
A_journey_87,1,44,12,ok,
A_journey_88,1,48,6,ok,
A_journey_89,1,46,20,ok,
A_journey_90,1,48,20,ok,
A_journey_91,1,47,14,ok,
A_journey_92,1,48,20,ok,
A_journey_93,1,51,20,ok,
A_journey_94,1,52,20,ok,
A_journey_95,1,43,20,ok,
A_journey_96,1,47,20,ok,
A_journey_97,1,45,20,ok,
A_journey_98,1,48,20,ok,
A_journey_99,1,46,20,ok,
A_journey_100,1,48,20,ok,
B1_funnel_24h,1,115,10,ok,
B1_funnel_24h,2,134,10,ok,
B1_funnel_24h,3,55,10,ok,
B2_funnel_48h,1,98,10,ok,
B2_funnel_48h,2,99,10,ok,
B2_funnel_48h,3,102,10,ok,
B3_inflight_24h,1,27,10,ok,
B3_inflight_24h,2,25,10,ok,
B3_inflight_24h,3,19,10,ok,
B4_hourly_throughput_48h,1,29,475,ok,
B4_hourly_throughput_48h,2,33,475,ok,
B4_hourly_throughput_48h,3,31,475,ok,
B5_route_rollup_24h,1,37,40,ok,
B5_route_rollup_24h,2,36,40,ok,
B5_route_rollup_24h,3,35,40,ok,
