test,run,ms,rows,status,error
A_journey_01,1,66,20,ok,
A_journey_02,1,60,20,ok,
A_journey_03,1,59,20,ok,
A_journey_04,1,78,20,ok,
A_journey_05,1,84,20,ok,
A_journey_06,1,89,20,ok,
A_journey_07,1,89,20,ok,
A_journey_08,1,57,20,ok,
A_journey_09,1,77,20,ok,
A_journey_10,1,111,20,ok,
A_journey_11,1,64,20,ok,
A_journey_12,1,62,20,ok,
A_journey_13,1,107,20,ok,
A_journey_14,1,78,20,ok,
A_journey_15,1,90,20,ok,
A_journey_16,1,80,20,ok,
A_journey_17,1,93,20,ok,
A_journey_18,1,101,20,ok,
A_journey_19,1,124,20,ok,
A_journey_20,1,77,20,ok,
A_journey_21,1,116,20,ok,
A_journey_22,1,94,20,ok,
A_journey_23,1,114,20,ok,
A_journey_24,1,97,12,ok,
A_journey_25,1,61,20,ok,
A_journey_26,1,58,20,ok,
A_journey_27,1,53,20,ok,
A_journey_28,1,68,20,ok,
A_journey_29,1,53,20,ok,
A_journey_30,1,64,20,ok,
A_journey_31,1,67,20,ok,
A_journey_32,1,73,20,ok,
A_journey_33,1,52,20,ok,
A_journey_34,1,71,20,ok,
A_journey_35,1,52,20,ok,
A_journey_36,1,54,20,ok,
A_journey_37,1,59,20,ok,
A_journey_38,1,84,20,ok,
A_journey_39,1,53,20,ok,
A_journey_40,1,120,8,ok,
A_journey_41,1,63,20,ok,
A_journey_42,1,50,20,ok,
A_journey_43,1,114,20,ok,
A_journey_44,1,58,20,ok,
A_journey_45,1,51,20,ok,
A_journey_46,1,87,20,ok,
A_journey_47,1,56,20,ok,
A_journey_48,1,49,20,ok,
A_journey_49,1,52,20,ok,
A_journey_50,1,52,20,ok,
A_journey_51,1,51,20,ok,
A_journey_52,1,52,20,ok,
A_journey_53,1,52,20,ok,
A_journey_54,1,57,20,ok,
A_journey_55,1,58,20,ok,
A_journey_56,1,53,20,ok,
A_journey_57,1,97,20,ok,
A_journey_58,1,51,20,ok,
A_journey_59,1,53,20,ok,
A_journey_60,1,52,20,ok,
A_journey_61,1,54,20,ok,
A_journey_62,1,55,20,ok,
A_journey_63,1,58,20,ok,
A_journey_64,1,52,20,ok,
A_journey_65,1,52,20,ok,
A_journey_66,1,55,20,ok,
A_journey_67,1,53,20,ok,
A_journey_68,1,51,20,ok,
A_journey_69,1,76,20,ok,
A_journey_70,1,67,20,ok,
A_journey_71,1,54,16,ok,
A_journey_72,1,52,20,ok,
A_journey_73,1,95,20,ok,
A_journey_74,1,55,20,ok,
A_journey_75,1,55,20,ok,
A_journey_76,1,60,20,ok,
A_journey_77,1,58,20,ok,
A_journey_78,1,55,20,ok,
A_journey_79,1,52,20,ok,
A_journey_80,1,53,20,ok,
A_journey_81,1,13,20,ok,
A_journey_82,1,13,20,ok,
A_journey_83,1,13,20,ok,
A_journey_84,1,14,20,ok,
A_journey_85,1,14,20,ok,
A_journey_86,1,14,10,ok,
A_journey_87,1,15,20,ok,
A_journey_88,1,18,20,ok,
A_journey_89,1,14,20,ok,
A_journey_90,1,12,20,ok,
A_journey_91,1,13,20,ok,
A_journey_92,1,13,20,ok,
A_journey_93,1,13,20,ok,
A_journey_94,1,12,20,ok,
A_journey_95,1,12,20,ok,
A_journey_96,1,12,20,ok,
A_journey_97,1,13,20,ok,
A_journey_98,1,12,20,ok,
A_journey_99,1,12,18,ok,
A_journey_100,1,12,20,ok,
B1_funnel_24h,1,57,10,ok,
B1_funnel_24h,2,68,10,ok,
B1_funnel_24h,3,75,10,ok,
B2_funnel_48h,1,112,10,ok,
B2_funnel_48h,2,125,10,ok,
B2_funnel_48h,3,105,10,ok,
B3_inflight_24h,1,28,10,ok,
B3_inflight_24h,2,18,10,ok,
B3_inflight_24h,3,20,10,ok,
B4_hourly_throughput_48h,1,37,477,ok,
B4_hourly_throughput_48h,2,32,477,ok,
B4_hourly_throughput_48h,3,30,477,ok,
B5_route_rollup_24h,1,35,40,ok,
B5_route_rollup_24h,2,37,40,ok,
B5_route_rollup_24h,3,35,40,ok,
