test,run,ms,rows,status,error
A_journey_01,1,3,12,ok,
A_journey_02,1,2,20,ok,
A_journey_03,1,2,20,ok,
A_journey_04,1,3,16,ok,
A_journey_05,1,2,20,ok,
A_journey_06,1,2,20,ok,
A_journey_07,1,3,20,ok,
A_journey_08,1,2,20,ok,
A_journey_09,1,3,20,ok,
A_journey_10,1,3,6,ok,
A_journey_11,1,3,20,ok,
A_journey_12,1,3,20,ok,
A_journey_13,1,3,20,ok,
A_journey_14,1,3,2,ok,
A_journey_15,1,4,20,ok,
A_journey_16,1,3,20,ok,
A_journey_17,1,3,20,ok,
A_journey_18,1,2,20,ok,
A_journey_19,1,2,2,ok,
A_journey_20,1,2,20,ok,
B1_funnel_24h,1,10,10,ok,
B1_funnel_24h,2,11,10,ok,
B1_funnel_24h,3,11,10,ok,
B2_funnel_48h,1,11,10,ok,
B2_funnel_48h,2,13,10,ok,
B2_funnel_48h,3,13,10,ok,
B3_inflight_24h,1,7,10,ok,
B3_inflight_24h,2,7,10,ok,
B3_inflight_24h,3,6,10,ok,
B4_hourly_throughput_48h,1,7,473,ok,
B4_hourly_throughput_48h,2,7,473,ok,
B4_hourly_throughput_48h,3,6,473,ok,
B5_route_rollup_24h,1,7,40,ok,
B5_route_rollup_24h,2,6,40,ok,
B5_route_rollup_24h,3,7,40,ok,
